ID,变装后的佣兵ID(98=>闪金 97=>普通换装),闪金前主角,成就类型,成就值,资源消耗类型(可以为空),资源消耗数量(可以为空)
number,string,number,string,string,string,string
ID,template_id,before_template_id,type,need_num,resouce_ids,resouce_nums
1,99100001,99000001,73|9,7|3000,,
2,99100002,99000002,73|9,7|3000,,
3,99100003,99000003,73|9,7|3000,,
4,99100004,99000004,73|9,7|3000,,
5,99100005,99000005,73|9,7|3000,,
6,99100006,99000006,73|9,7|3000,,
7,99200001,,19|20,5|2,93,50
8,99200002,,20|21,3|1,93,60
9,99200003,,27|24,5|10,93|3,150|1000
10,99200004,,29|54,50|30,93|4,300|5
11,99200005,,23|25,5|50,93|3,500|3000
12,99200006,,64|14,10000|10000,93|3,800|4000
